"symbol","lower_price","higher_price","lower_size","higher_size"
"CFFS","110800","111300",9,100
"CFG","399200","413900",1,310090
"CFG-E","228300","231900",1,1316
"CFG-H","264500","268100",1,9683
"CFLT","192700","202450",1,746734
"CFO","692700","700169",1,3110
"CFR","1102900","1132800",1,14640
"CFR-B","214801","219100",1,734
"CFSB","66500","67900",1,700
"CG","421439","441300",1,142463
"CGA","17300","18700",1,192
"CGABL","198000","201300",1,5300
"CGAU","73950","78500",1,173026
"CGBD","173000","176100",1,19837
"CGBDL","257700","259000",1,1000
"CGBL","311600","320500",1,15852
"CGBS","2731","2990",1,125000
"CGBSW","130","227",1,1050
"CGC","44100","46287",1,63710
"CGCB","269400","270250",1,25331
"CGCP","231200","250000",1,231030
"CGCV","271204","275200",1,6376
"CGDG","308100","310302",1,6400
"CGDV","362800","366860",1,78149
"CGEM","163800","177165",1,107496
"CGEN","17200","20000",1,25601
"CGGE","265500","272700",1,3759
"CGGO","300800","306600",1,28739
"CGGR","345700","351000",1,114081
"CGHM","258400","259100",1,115703
"CGIB","256900","257000",1,999
"CGIC","263017","264700",1,20000
"CGIE","304410","307799",1,20000
"CGMS","277860","285400",1,266474
"CGMU","274350","275100",1,14726
"CGNG","266450","268100",1,20000
"CGNT","65000","70700",1,17281
"CGNX","392400","411000",1,218132
"CGO","117100","119700",1,3378
"CGON","358000","383800",1,81510
"CGRO","229793","241000",1,40
"CGSD","254900","260100",1,73000
"CGSM","262101","262900",1,4400
"CGTX","4000","4358",1,20400
"CGUI","252101","252984",1,800
"CGUS","341800","344600",1,9600
"CGV","136034","137399",1,1628
"CGW","608354","615600",1,1752
"CGXU","267900","275200",1,92190
"CHAT","370100","382096",1,3000
"CHAU","139800","173000",1,20000
"CHCI","85200","98000",1,2602
"CHCO","1141100","1188600",1,15130
"CHCT","171100","180500",1,9900
"CHD","1019900","1047100",1,87700
"CHDN","1320000","1349200",1,123500
"CHE","5897200","6100000",1,1887
"CHEB","100114","100300",100,3500
"CHEB+","700","740",1,11
"CHEF","409900","433800",1,49394
"CHEK","11299","17000",1,2800
"CHGG","16300","18600",1,211581
"CHGX","383300","385700",1,2321
"CHH","1291600","1393800",1,1884
"CHI","114100","116500",1,6569
"CHIQ","193500","215100",1,5000
"CHK","758500","838600",1,399664
"CHKEL","509800","632700",4,100
"CHKEW","705500","718900",1,100
"CHKP","1909800","1960000",1,63060
"CHMG","477200","484700",1,1554
"CHMI","36850","38100",1,14245
"CHMI-A","240200","243000",1,870
"CHMI-B","251100","253800",1,301
"CHN","110000","122600",1,3500
"CHNR","6300","8277",1,7565
"CHPS","330412","338000",1,500
"CHPT","13400","14500",1,250000
"CHR","25700","29300",1,1500
"CHRD","1265000","1352000",1,111243
"CHRO","7701","12500",1,11659
"CHRS","9824","11200",1,108100
"CHRW","1061100","1093899",1,220713
"CHSCL","259100","262400",1,2000
"CHSCM","256689","261000",1,2215
"CHSCN","258800","265800",1,1216
"CHSCO","271300","273350",1,2000
"CHSCP","302500","307400",1,1500
"CHSN","27680","31500",1,20000
"CHT","401701","406200",1,11300
"CHTR","3144900","3342000",1,306731
"CHUY","373700","374200",1,32624
"CHW","69900","71700",1,24882
"CHWY","292800","304173",1,170923
"CHX","290101","303700",1,301200
"CHY","118200","119700",1,9308
"CI","3396100","3511740",1,28000
"CIA","32200","35699",1,3765
"CIB","319400","332350",1,15501
"CIBR","585115","604000",1,21760
"CID","337400","353750",1,2193
"CIEN","613300","630600",1,122972
"CIF","17600","18200",1,2100
"CIFR","38100","42800",1,526505
"CIFRW","10700","13800",1,2600
"CIG","20600","21300",1,6200000
"CIG.C","25300","26000",1,1000
"CIGI","1479600","1532400",1,5961
"CII","194800","196294",1,6234
"CIK","30800","31063",1,10000
"CIL","456100","457900",1,119
"CIM","159450","164200",1,10000
"CIM-A","240400","242982",1,1700
"CIM-B","246815","248600",1,2024
"CIM-C","225980","230300",1,1828
"CIM-D","241500","244900",1,1500
"CIMN","255200","258310",1,900
"CIMO","260000","260500",1,2500
"CINF","1338600","1365000",1,144179
"CING","49500","52900",1,18000
"CINGW","720","955",100,29679
"CINT","68500","72100",1,900
"CIO","57800","60700",1,4404
"CIO-A","188000","193899",1,523
"CION","116200","128200",1,6214
"CISO","6400","7639",1,19365
"CISS","10800","11500",1,8000
"CITE","115400","115400",43,43
"CIVB","172900","179800",1,24143
"CIVI","491000","524500",1,50179
"CIX","283000","302700",1,424
"CIZ","331600","334400",1,7401
"CJET","18533","22912",1,2683
"CJJD","16000","18600",1,1121
"CKPT","21400","23060",1,21700
"CKX","133800","138000",1,400
"CL","1022600","1042250",1,82968
"CLAR","43500","47150",1,32641
"CLB","176300","185350",1,20454
"CLBK","168900","172800",1,19063
"CLBR","102250","102300",100,1571
"CLBR+","3000","3001",223,300
"CLBT","165200","176900",1,78207
"CLCO","110000","114999",1,4400
"CLDI","11200","12199",1,3000
"CLDI+","80","129",100,1000
"CLDL","99300","103000",1,500
"CLDT","84700","88600",1,9200
"CLDT-A","231500","238600",1,95
"CLDX","301300","372000",1,121417
"CLEU","2657","3177",1,52247
"CLF","124200","131800",1,404810
"CLFD","378500","394300",1,10926
"CLGN","47300","50000",1,2600
"CLH","2374401","2487900",1,5373
"CLIP","1004200","1005000",1,7501
"CLIR","8200","9200",1,4855
"CLIX","456800","469400",1,100
"CLLS","21000","23700",1,19582
"CLM","75600","76700",1,64269
"CLMB","905600","1009100",1,6347
"CLMT","170100","179500",1,15925
"CLNE","29700","31800",1,127418
"CLNN","45000","48850",1,5153
"CLNNW","312","500",14,8334
"CLNR","246701","248836",1,100
"CLOA","519102","520003",1,4350
"CLOB","500600","503500",1,230
"CLOD","280800","281498",5,100
"CLOI","529801","530400",1,398139
"CLOU","200200","207300",1,90171
"CLOV","27700","29500",1,131948
"CLOX","254400","255899",1,75000
"CLOZ","268700","269400",1,20285
"CLPR","51000","60000",1,4614
"CLPS","13700","14200",1,2866
"CLPT","108900","115100",1,8804
"CLRB","19000","20700",1,19500
"CLRC","115713","117000",1,53919
"CLRCR","902","1011",7,2000
"CLRO","5761","6355",1,800
"CLS","496600","535295",1,25681
"CLSD","10700","12000",1,22600
"CLSE","219700","223500",1,11602
"CLSK","94800","105500",1,642022
"CLSM","210600","212399",1,7284
"CLST","111789","115400",1,5000
"CLVT","67700","70650",1,100000
"CLW","281400","296500",1,4900
"CLWT","15500","16700",1,780
"CLX","1603600","1640700",1,81422
"CM","610000","626700",1,1500000
"CMA","580200","611200",1,350600
"CMAX","17000","18500",1,7626
"CMAXW","66","99",26,11011
"CMBM","16700","20800",1,10155
"CMBS","485500","489000",1,6550
"CMBT","159900","166900",1,2355
"CMC","522585","562500",1,17269
"CMCI","258500","258500",1,1
"CMCL","143600","153500",1,5200
"CMCM","38300","43450",1,7000
"CMCO","340400","360000",1,42022
"CMCSA","396100","420800",1,3892059
"CMCT","6159","7800",1,103413
"CMDT","256100","268100",1,165104
"CMDY","496150","499399",1,4023
"CME","2166000","2200100",1,354105
"CMF","579700","581799",1,48725
"CMG","568900","591200",1,540000
"CMI","3175000","3334200",1,31574
"CMLS","13450","16500",1,9100
"CMMB","15200","17424",1,10000
"CMND","12100","12600",1,3100
"CMP","116200","127500",1,10050
"CMPO","130000","138500",1,167603
"CMPOW","32000","36300",1,600
"CMPR","818000","859200",1,28680
"CMPS","67353","70800",1,12087
"CMPX","16701","19500",1,40517
"CMRE","154100","159900",1,14716
"CMRE-B","261211","262800",1,385
"CMRE-C","265300","268400",7,691
"CMRE-D","265200","269615",1,931
"CMRX","8447","9200",1,16450
"CMS","692100","710300",1,22421
"CMSA","252123","255300",1,500
"CMS-B","860301","879900",1,190
"CMSC","250400","252400",1,500
"CMS-C","199200","202800",1,3441
"CMSD","250000","252300",1,3900
"CMT","176458","180800",1,603
"CMTG","75400","78300",1,3715
"CMTL","40700","66800",1,23911
"CMU","36100","36600",1,5500
"C-N","300000","301800",1,20000
"CNA","483200","493100",1,282612
"CNBS","43000","46500",1,2000
"CNC","732000","751100",1,206800
"CNCR","148400","151700",1,800
"CNDT","37500","38800",1,159890
"CNEQ","229850","233900",1,1000
"CNET","5239","10500",1,46185
"CNEY","4200","12700",1,296771
"CNF","9401","10400",1,6981
"CNFR","9604","10634",1,14370
"CNFRZ","200000","214600",1,92
"CNH","109600","115000",1,140000
"CNI","1157300","1210000",1,29910
"CNK","266100","280000",1,46831
"CNL","32800","34600",27,580
"CNM","435000","465200",1,103900
"CNMD","735300","772630",1,73500
"CNNE","187900","194750",1,24869
"CNO","340000","349100",1,205588
"CNO-A","215400","221200",3,100
"CNOB","241000","249200",1,37135
"CNOBP","207500","215000",1,655
"CNP","280892","292200",1,100000
"CNQ","325000","337500",1,152397
"CNRG","642000","666784",1,2115
"CNS","943700","975400",1,66125
"CNSL","46100","46400",1,35201
"CNSP","1320","1464",1,83500
"CNTA","150000","165650",1,145478
"CNTB","12900","15000",1,4400
"CNTM","10000","13555",1,16549
"CNTX","17300","20000",1,286380
"CNTY","23000","26900",1,6900
"CNVS","9520","11000",1,5000
"CNX","296400","317100",1,53623
"CNXC","502200","569000",1,116767
"CNXN","738100","777749",1,17860
"CNXT","223100","258000",1,1000
"CNYA","274600","299200",1,18325
"COAL","229700","237400",1,700
"COCH","31000","36300",1,1800
"COCO","278800","300000",1,73414
"COCP","16100","17800",1,900
"CODA","71600","74700",1,4515
"CODI","218590","223800",1,3000
"CODI-A","243200","244900",1,1527
"CODI-B","244615","246400",1,1000
"CODI-C","244301","245899",1,2300
"CODX","11600","12600",1,5800
"COE","150000","170400",1,1500
"COEP","1511","1820",1,40000
"COEPW","126","150",9,10000
"COF","1440000","1502700",1,221700
"COF-I","217600","220400",1,4129
"COF-J","206100","208800",1,6000
"COF-K","208400","210653",1,3398
"COF-L","199101","201600",1,1968
"COF-N","195650","197990",1,4900
"COFS","303000","313400",1,3108
"COGT","107900","112400",1,88160
"COHN","82500","88653",1,750
"COHR","872300","960000",1,551389
"COHU","245800","262700",1,75615
"COIN","1693904","1924500",1,906785
"COKE","12770912","13495000",1,5654
"COLB","256900","268000",1,233174
"COLD","283930","290400",1,100000
"COLL","372100","393800",1,43273
"COLM","801400","839900",1,69873
"COM","287501","289350",1,18136
"COMB","200400","205500",1,1664
"COMM","56800","66000",1,437965
"COMP","61117","63550",1,150000
"COMT","256850","269900",1,400250
"CON","220012","237200",1,30000
"CONI","216100","246200",1,20000
"CONL","227100","290800",1,103518
"CONY","130900","141500",1,25321
"COO","1080300","1114800",1,228071
"COOK","35800","39700",1,6000
"COOP","897200","952300",1,206067
"COOT","8101","8899",1,900
"COOTW","137","237",100,1000
"COP","1019800","1091300",1,390746
"COPA","280891","282200",1,100
"COPJ","230300","244200",1,89032
"COPP","263600","272350",1,4695
"COPX","459700","490000",1,801200
"COR","2175000","2398800",1,14704
"CORN","180700","183400",1,5000
"CORP","977400","996399",1,8933
"CORT","416600","453600",1,148757
"CORZ","117500","127700",1,529955
"CORZW","67000","74950",1,10000
"CORZZ","117700","126650",1,3149
"COSM","8501","9174",1,99600
"COST","8740000","9185000",1,409132
"COTY","90200","97000",1,158098
"COUR","77500","83200",1,84433
"COWG","284300","288300",1,202802
"COWS","292200","298100",1,49250
"COWZ","568200","580600",1,156549
"COYA","59600","68800",1,6240
"CP","803000","887500",1,200000
"CPA","919600","957100",1,22099
"CPAC","57000","57997",1,2700
"CPAI","330900","333700",1,7500
"CPAY","3025000","3117400",1,78037
"CPB","489100","497700",1,265905
"CPBI","118300","129999",1,1800
"CPER","283700","290300",1,8473
"CPF","277800","284400",1,20081
"CPHC","182900","190500",1,1008
"CPHI","2150","2960",1,75400
"CPIX","12000","13000",1,2000
"CPK","1212600","1250000",1,666
"CPLS","364200","366700",1,3250
"CPNG","244400","251950",1,213332
"CPNJ","244202","245100",1,300
"CPNS","250100","250983",1,685
"CPOP","11285","13500",1,7833
"CPRI","382700","395800",1,233669
"CPRJ","251200","252942",1,5000
"CPRT","517500","527000",1,679474
"CPRX","195000","209500",1,154113
"CPS","134600","149300",1,3807
"CPSA","247800","248600",30,922
"CPSH","13600","14700",1,1992
"CPSJ","247200","247490",200,399
"CPSL","253200","254700",1,553
"CPSM","263200","264200",1,2000
"CPSS","91200","97800",1,5060
"CPST","250662","251300",1,1000
"CPT","1235800","1267700",1,50000
"CPTN","30500","31000",1,5000
"CPTNW","82","195",1,9433
"CPZ","155500","157304",1,3576
"CQP","477600","487499",1,5550
"CQQQ","363200","408800",1,20815
"CR","1560000","1599500",1,50800
"CRAI","1646433","1742000",1,5405
"CRAK","342000","346100",1,505
"CRBG","284600","294322",1,236927
"CRBN","1956200","1972605",1,865
"CRBP","206300","233300",1,30211
"CRBU","18800","20100",1,228216
"CRC","486100","520368",1,100000
"CRCT","67100","70200",1,46688
"CRD.A","104200","113100",1,24259
"CRD.B","108000","114200",1,879
"CRDF","26300","28900",1,15118
"CRDL","20409","22100",1,6608
"CRDO","298900","322700",1,207978
"CRDT","252800","254400",1,5062
"CRED","236800","239560",1,100
"CREG","7990","8740",1,4200
"CRESW","5000","6000",1,512
"CRESY","88501","94099",1,7000
"CREV","44500","49000",1,1500
"CREVW","260","370",1,14310
"CREX","44700","48500",1,10000
"CRF","79000","80000",1,36155
"CRGO","13200","15350",1,4526
"CRGOW","501","1175",1,6111
"CRGX","171300","209200",1,20366
"CRGY","107600","112500",1,80000
"CRH","909000","941400",1,318916
"CRI","660000","679400",1,50000
"CRIS","50700","56900",1,1055
"CRIT","192800","197300",1,500
"CRK","106900","114500",1,87553
"CRKN","11600","12700",1,13936
"CRL","1913800","2017100",1,24975
"CRM","2464100","2787200",1,269208
"CRMD","77400","84300",1,43154
"CRML","63900","75500",1,1701
"CRMLW","2326","3000",1,19900
"CRMT","426850","445000",1,10597
"CRNC","24600","30800",1,111062
"CRNT","26500","27500",1,12350
"CRNX","500000","518200",1,80544
"CRON","20700","22100",1,35997
"CROX","1438500","1515088",1,148877
"CRPT","123800","134300",1,25331
"CRS","1533200","1699300",1,19848
"CRSH","125200","132200",1,2203
"CRSP","425442","476500",1,74884
"CRSR","64123","70600",1,96739
"CRT","101501","110100",1,2692
"CRTC","312320","314600",1,851
"CRTO","369900","425050",1,93482
"CRUS","1197900","1242000",1,146548
"CRUZ","224400","240800",1,1700
"CRVL","3180201","3294700",1,69424
"CRVO","140300","160500",1,21637
"CRVS","50110","53600",1,50000
"CRWD","2778800","2925000",1,255327
"CRWS","47700","48600",1,1179
"CSA","728633","736800",1,1031
"CSAN","88300","98600",1,10000
"CSB","580518","590600",1,27878
"CSBR","46801","50995",1,5366
"CSCI","37000","40700",1,1298
"CSCO","514057","532900",1,4266695
"CSD","796350","808100",1,310
"CSF","540450","548800",1,1319
"CSGP","735600","762300",1,678426
"CSGS","469700","488600",1,58804
"CSHI","497800","498450",1,107007
"CSHP","1004500","1004600",200,200
"CSIQ","141800","162950",1,175549
"CSL","4300000","4513400",1,5932
"CSLM","113400","115150",5,100
"CSLR","27520","33000",1,20857
"CSLRW","2600","3100",1,36500
"CSM","650050","655050",1,2751
"CSMD","296468","301288",1,18815
"CSPI","123000","133300",1,2501
"CSQ","126700","173600",1,12360
"CSR","712600","736200",1,14800
"CSR-C","249800","249991",1,2117
"CSTE","44100","46900",1,6752
"CSTL","270100","291200",1,65487
"CSTM","158500","170450",1,80490
"CSV","325700","333700",1,2800
"CSWC","248100","259600",1,10721
"CSWCZ","258100","261200",4,800
"CSWI","3683500","3775600",1,40612
"CSX","335200","350300",1,1419371
"CTA","260501","263500",1,7000
"CTA-A","632400","655100",1,200
"CTA-B","792000","828900",1,475
"CTAS","2008000","7683000",1,359060
"CTBB","163020","168500",1,26440
"CTBI","477900","500000",1,10449
"CTCX","2763","4799",1,9853
"CTDD","167900","171500",1,7620
"CTEC","80410","84181",1,5556
"CTEX","224950","233400",1,24
"CTGO","190400","202200",1,25764
"CTHR","16300","17500",1,3184
"CTKB","51100","54599",1,82478
"CTLP","70000","75100",1,64244
"CTLT","596600","608100",1,131300
"CTM","1610","1820",1,9995
"CTMX","11600","12700",1,100000
"CTNM","178700","194799",1,3585
"CTNT","2000","2200",1,39000
"CTO","188100","200100",1,42600
"CTO-A","225100","238972",1,200
"CTOR","13000","15400",1,8600
"CTOS","35100","36900",1,117884
"CTRA","227800","238500",1,136386
"CTRE","304800","320900",1,256000
"CTRI","151300","158000",1,26034
"CTRM","39100","42500",1,3400
"CTRN","181450","189600",1,16797
"CTS","468400","492450",1,1296
"CTSH","755300","777600",1,2147689
"CTSO","12800","15000",1,25000
"CTV","17700","18800",1,39298
"CTV+","350","459",5,1400
"CTVA","571500","590900",1,185864
"CTXR","5000","5400",1,60000
"CUB","100000","100500",1,13500
"CUBA","23000","23800",1,3000
"CUBB","201207","201207",27,27
"CUBE","527400","547200",1,17600
"CUBI","441500","459500",1,48843
"CUBI-E","252740","254500",8,500
"CUBI-F","250600","251867",1,859
"CUBWU","100100","102000",1,100
"CUBWW","647","806",1,322
"CUE","2900","8071",1,48000
"CUK","165400","172400",1,10902
"CULP","58301","61850",1,3000
"CURB#","199600","202499",1,500
"CURE","1288350","1336400",1,1376
"CURI","19100","21100",1,14000
"CURIW","276","372",19,900
"CURR","25400","29350",1,2300
"CURV","38800","43600",1,19200
"CUT","350000","359150",1,412
"CUTR","7000","7984",1,9900
"CUZ","291300","304500",1,34324
"CVAC","28700","32200",1,321658
"CVAR","270450","272000",1,498
"CVBF","175500","180000",1,181068
"CVCO","4219500","4426550",1,8254
"CVE","162400","169650",1,365650
"CVE+","117100","120000",8,300
"CVEO","268500","275500",1,2175
"CVGI","33000","35700",1,75762
"CVGW","277500","294000",1,23063
"CVI","221700","239700",1,55011
"CVIE","602610","620600",1,1459
"CVKD","140000","160000",1,5817
"CVLC","712500","717800",1,1016
"CVLG","514500","544000",1,4500
"CVLT","1442100","1564100",1,49628
"CVM","10300","11000",1,15000
"CVMC","597600","603500",1,458
"CVNA","1657701","1729988",1,67390
"CVR","180001","189999",1,498
"CVRD","193761","194650",1,1290
"CVRT","283700","285800",1,1000
"CVRX","82900","91300",1,12472
"CVS","583400","618600",1,1103000
"CVSB","508200","509500",1,25000
"CVSE","680000","684200",1,686
"CVU","33000","34620",1,15000
"CVV","32100","34000",1,1500
"CVX","1401600","1474500",1,225685
"CVY","258100","264800",1,1357
"CW","3243400","3424600",1,1600
"CWAN","251350","260500",1,40000
"CWB","757100","766842",1,6220
"CWBC","192200","196700",1,6238
"CWCO","244300","256400",1,7976
"CWD","6001","6676",1,7448
"CWEB","368000","455500",1,26272
"CWEN","300100","318300",1,4697
"CWEN.A","278600","285120",1,86700
"CWH","244000","257600",1,23566
"CWI","303600","309284",1,9537
"CWK","134000","139900",1,50000
"CWS","682910","700000",1,2000
"CWST","980000","1010000",1,217776
"CWT","524500","538000",1,8294
"CX","56900","65150",1,382570
"CXAI","15900","17500",1,14449
"CXAIW","2121","2524",1,10000
"CXDO","43000","46700",1,8423
"CXE","39350","40100",1,6855
"CXH","81500","82193",1,6000
"CXM","75000","78200",1,1978665
"CXSE","305100","329399",1,15800
"CXT","548700","596400",1,22200
"CXW","123700","129300",1,25165
"CYBN","92000","107200",1,8996
"CYBR","2800000","2930000",1,31837
"CYCC","9900","10810",1,3000
"CYCCP","69300","73300",1,2
"CYCN","25000","29900",1,900
"CYD","118250","124400",1,2020
"CYH","59800","62700",1,29895
"CYN","36200","39200",1,901
"CYRX","78300","83100",1,32923
"CYTH","6801","7200",1,8000
"CYTK","520191","535000",1,174680
"CYTO","6599","7460",1,3700
"CZA","1074160","1087400",1,400
"CZAR","295900","297400",1,100
"CZFS","534800","576800",1,6135
"CZNC","191500","198500",1,5190
"CZR","406000","422050",1,1465163
"CZWI","137900","141700",1,909
"D","567515","579200",1,160741
"DAC","849300","873100",1,1809
"DADA","14400","18300",1,286462
"DAIO","24135","26053",1,2400
"DAKT","124600","131400",1,84324
"DAL","487500","524546",1,142299
"DALI","251100","253800",1,872
"DALN","40200","42989",1,1084
"DAN","105500","112300",1,27460
"DAO","33100","39800",1,19600
"DAPP","101700","124800",1,13065
"DAPR","364000","365099",3,1374
"DAR","352200","385500",1,113400
"DARE","31100","33890",1,3339
"DARP","313800","322400",1,93
"DASH","1410012","1467988",1,351427
"DAT","352301","358100",1,1169
"DATS","12000","13400",1,2000
"DATSW","327","472",258,1000
"DAUG","390001","391200",1,5029
"DAVA","256500","269600",1,25421
"DAVE","397600","439000",1,8107
"DAVEW","430","560",1,4560
"DAWN","134600","149400",1,76199
"DAX","343000","354000",1,1995
"DAY","581200","604400",1,62303
"DB","166500","174395",1,50000
"DBA","261485","271000",1,7872
"DBAW","349100","351900",1,800
"DBB","205900","213000",1,13521
"DBC","218550","224100",1,44000
"DBD","426600","446500",1,12457
"DBE","180600","186050",1,1041
"DBEF","415200","424300",1,22944
"DBEM","259350","268950",1,2575
"DBEU","420000","429200",1,3865
"DBEZ","469800","474300",1,227
"DBGI","3024","4178",1,19700
"DBGIW","123200","136500",2,200
"DBI","68614","73000",1,92943
"DBJP","701800","738800",1,25693
"DBL","157614","158800",1,5000
"DBMF","274739","288800",1,24227
"DBND","472217","474350",1,5367
"DBO","136800","140000",1,10000
"DBP","641350","650800",1,900
"DBRG","140100","147100",1,58506
"DBRG-H","247500","251500",1,735
"DBRG-I","238109","257700",1,1696
"DBRG-J","245700","251500",1,2200
"DBVT","6433","7499",1,7700
"DBX","244100","254400",1,384608
"DC","23400","25400",1,7042
"DC+","6600","6601",1,1
"DCAP","206089","206395",100,100
"DCBO","438700","454600",1,1707
"DCF","91300","92200",1,6000
"DCGO","32500","34628",1,66395
"DCI","727000","749200",1,108853
"DCMT","248100","253300",1,666
"DCO","637200","667300",1,6901
"DCOM","276700","288300",1,45652
"DCOMG","267000","272400",1,500
"DCOMP","203000","211500",1,3226
"DCOR","628601","633710",1,18877
"DCRE","519300","521000",1,2678
"DCTH","87392","92600",1,17858
"DD","859400","900600",1,80912
"DDC","2872","3600",1,28231
"DDD","24000","29200",1,66058
"DDEC","394201","395330",1,5568
"DDI","131400","149900",1,2427
"DDIV","365200","368200",1,29092
"DDL","28400","32000",1,150099
"DDLS","363400","367350",1,16341
"DDM","943800","970350",1,2000
"DDOG","1130000","1185300",1,397402
"DDS","3755100","4000000",1,1898
"DDT","259100","260700",1,2500
"DDWM","358900","362900",1,9080
"DE","4061000","4198400",1,55789
"DEA","133500","136900",1,12666
"DEC","109900","118300",1,3200
"DECA","114310","115900",1,700
"DECK","1533500","1602499",1,78000
"DECO","285400","298000",1,500
"DECT","318100","318101",46,100
"DECW","302500","303150",11,6198
"DECZ","369700","371900",1,1033
"DEED","217050","218098",1,3334
"DEEF","308700","315000",1,757
"DEEP","353550","361788",1,584
"DEFI","731500","756800",1,340
"DEHP","271200","274093",1,3639
"DEI","170900","177500",1,66600
"DELL","1122918","1270000",1,116519
"DEM","439900","455900",1,160000
"DEMZ","358500","364900",1,1242
"DENN","63900","69048",1,43470
"DEO","1331800","1435588",1,26142
"DERM","52600","57200",1,9400
"DES","340000","346094",1,9020
"DESK","441000","453000",1,75
"DESP","122400","129000",1,37865
"DEUS","544200","550000",1,2471
"DEW","548233","552800",1,54489
"DFAC","318200","343768",1,101404
"DFAE","275501","279000",1,49939
"DFAI","318217","321100",1,188695
"DFAR","253101","256530",1,6700
"DFAS","641800","653160",1,13051
"DFAT","524700","559600",1,12821
"DFAU","367300","397171",1,13731
"DFAW","631700","637684",1,6219
"DFAX","249400","273286",1,35199
"DFCA","505300","507200",1,2659
"DFCF","430850","433100",1,55535
"DFE","633900","640594",1,24300
"DFEB","416400","417650",2,2000
"DFEM","282650","285900",1,27787
"DFEN","333200","353900",1,3400
"DFEV","286000","294500",1,30471
"DFGP","549800","552199",1,8800
"DFGR","286539","289697",1,66082
"DFGX","539700","541800",1,3615
"DFH","343200","370900",1,25000
"DFHY","215601","218700",1,557
"DFIC","269100","284299",1,66413
"DFIN","652600","675000",1,2479
"DFIP","421300","423900",1,38133
"DFIS","262700","270799",1,52259
"DFIV","367500","385150",1,25240
"DFJ","799100","818000",1,16000
"DFLI","4960","5399",1,17916
"DFLIW","255","527",1,1000
"DFLV","305250","309470",1,59304
"DFND","411700","451900",1,15
"DFNL","365379","370900",1,7569
"DFNM","484100","485499",1,5155
"DFNV","333206","336300",1,158
"DFP","213000","216800",1,7980
"DFRA","315000","318400",1,28
"DFS","1349925","1449000",1,189200
"DFSB","530035","532400",1,16600
"DFSD","476801","477950",1,17830
"DFSE","357552","361900",1,3502
"DFSI","357501","362050",1,5038
"DFSU","369800","372700",1,13560
"DFSV","303800","310135",1,18900
"DFUS","610600","622201",1,8627
"DFUV","399600","418550",1,10000
"DFVE","286500","312300",2,1902
"DFVX","650605","657300",1,1571
"DG","842500","881100",1,291300
"DGCB","546100","549050",1,13066
"DGHI","11100","12700",1,2522
"DGICA","145300","150750",1,12838
"DGICB","120000","149802",1,500
"DGII","263300","274400",1,20142
"DGIN","452900","456983",1,660
"DGLY","10200","10800",1,2846
"DGP","675245","693599",1,5000
"DGRE","279700","284800",1,1751
"DGRO","616500","645000",1,69036
"DGRS","506100","518900",1,2423
"DGRW","823400","846700",1,46322
"DGS","531400","543900",1,23767
"DGT","1377800","1420000",1,3578
"DGX","1508000","1568000",1,8600
"DGZ","78000","86500",1,415
"DH","34200","45500",1,56898
"DHAI","17900","20200",1,8412
"DHAIW","402","450",1,360
"DHC","37000","38600",1,145416
"DHCNI","167550","169300",1,400
"DHCNL","172800","177600",1,2000
"DHF","26200","26970",1,14595
"DHI","1866500","1931100",1,106330
"DHIL","1552433","1617075",1,2803
"DHR","2678800","2799988",1,71552
"DHS","923400","942200",1,3533
"DHT","106000","111700",1,19115
"DHX","16700","18680",1,4645
"DHY","22000","22200",1,28949
"DIA","4191200","4264900",1,163775
"DIAL","184100","185300",1,3135
"DIAX","146300","148000",1,2300
"DIBS","44400","46050",1,7998
"DIEM","285600","288099",1,13327
"DIG","362600","383800",1,7210
"DIHP","265200","284900",1,69496
"DIM","665800","670999",1,8134
"DIN","306000","325500",1,54050
"DINO","442600","466000",1,24557
"DINT","226200","242799",1,1174
"DIOD","597600","639900",1,60077
"DIPS","165401","174999",1,3000
"DIS","933900","973274",1,360300
"DISO","159719","163640",1,600
"DIST","108500","108800",1,1000
"DISV","289355","295200",1,12441
"DIT","1350000","1489900",1,50
"DIV","184700","190000",1,6000
"DIVB","479100","485300",1,54558
"DIVD","343100","345900",1,150
"DIVG","313300","316850",1,40
"DIVI","332704","340000",1,38756
"DIVL","215500","217800",1,289
"DIVO","409100","413700",1,14704
"DIVP","266850","267900",1,1000
"DIVS","302301","304700",1,443
"DIVY","268000","271937",1,3599
"DIVZ","327000","330000",1,46137
"DJAN","380800","382000",1,3300
"DJCB","190001","229999",1,95
"DJCO","4723100","4988500",1,1575
"DJD","518600","527400",1,1800
"DJIA","227500","234900",1,4780
"DJP","320500","323400",1,19300
"DJT","132000","155400",1,135002
"DJTWW","85585","99800",1,15198
"DJUL","412236","413957",1,1925
"DJUN","424080","425500",1,785
"DK","185100","200050",1,12298
"DKL","419000","438699",1,3800
"DKNG","395201","423100",1,641737
"DKS","2065600","2270000",1,8778
"DLB","730900","770000",1,58700
"DLHC","94100","96023",1,4057
"DLN","778100","785450",1,47000
"DLNG","37249","39028",1,1300
"DLNG-A","254384","256850",1,123
"DLNG-B","258100","262400",1,2000
"DLO","79100","83100",1,68890
"DLPN","6001","6800",1,6077
"DLR","1490200","1656900",1,222795
"DLR-J","240901","244799",1,1000
"DLR-K","249500","251000",1,865
"DLR-L","242200","244500",1,1000
"DLS","675500","697700",1,10959
"DLTH","36700","38700",1,10000
"DLTR","705500","748600",1,1196187
"DLX","189400","196400",1,3766
